SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
114,Aaliyah Alleyne,WEST INDIES,17,129,280,13,9.9,46.1,27,0,0,12,0,71.1,18,101,495,14,4.9,35.4,43.3,0,50,2,70.3,6,0
115,Cherry Ann Fraser,WEST INDIES,5,23,52,4,5.8,44.2,8,0,0,3,0,75,9,39,233,6,5.97,38.8,39,0,24,2,67.1,1,0
116,Sheneta Grimmond,WEST INDIES,6,72,83,6,12,86.7,34,0,0,6,2,56.6,8,39.1,198,5,5.06,39.6,47,0,13,2,54,2,0
117,Rashada Williams,WEST INDIES,23,386,778,20,19.3,49.6,78,2,0,32,2,69.5,0,0,0,0,0,0,0,0,0,0,0,6,1
118,Chinelle Henry,WEST INDIES,29,408,535,26,15.7,76.3,53,2,0,43,1,56.1,34,185.3,975,27,5.26,36.1,41.2,0,101,7,59,16,0
119,Karishma Ramharack,WEST INDIES,11,39,114,9,4.3,34.2,8,0,0,1,0,74.6,16,105.2,447,13,4.24,34.4,48.6,0,38,3,60.8,7,0
120,Shabika Gajnabi,WEST INDIES,13,85,188,11,7.7,45.2,22,0,0,9,0,70.7,5,20,105,3,5.25,35,40,0,11,0,60,9,0
121,Sophie Devina,NEW ZEALAND,35,1632,1755,49,33.3,93,660,2,3,169,7,43.6,28,167.5,829,23,4.94,36,43.8,0,90,10,68,38,0
122,Suzie Bates,NEW ZEALAND,30,1732,2398,41,42.2,72.2,816,6,3,101,0,48,6,11.3,73,1,6.35,73,69,0,4,1,44.9,17,0
123,Bernadine Bezuidenhout,NEW ZEALAND,5,73,100,5,14.6,73,25,0,0,9,0,58,0,0,0,0,0,0,0,0,0,0,0,10,1
124,Eden Carson,NEW ZEALAND,1,0,2,0,0,0,0,0,0,0,0,100,4,30,145,5,4.83,29,36,0,12,3,60,1,0
125,Lauren Down,NEW ZEALAND,16,383,558,15,25.5,68.6,90,3,0,35,5,60,0,0,0,0,0,0,0,0,0,0,0,8,0
126,Isabella Gaze,NEW ZEALAND,2,7,25,2,3.5,28,6,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,5,0
127,Maddy Green,NEW ZEALAND,30,761,1056,26,29.3,72.1,80,5,0,49,7,51.4,3,12.4,81,0,6.39,0,0,0,55,3,46.1,18,0
128,Brooke Halliday,NEW ZEALAND,21,396,550,19,20.8,72,60,2,0,35,3,57.6,6,18.4,94,4,5.04,23.5,28,0,10,1,59.8,7,0
129,Hayley Jensen,NEW ZEALAND,22,237,328,21,11.3,72.3,53,1,0,28,1,59.5,25,146.1,776,21,5.31,37,41.8,0,85,7,58,1,0
130,Fran Jonas,NEW ZEALAND,3,2,15,2,1,13.3,1,0,0,0,0,86.7,13,90.4,442,9,4.88,49.1,60.4,0,37,6,55.9,3,0
131,Amelia Kerr,NEW ZEALAND,33,1380,1895,26,53.1,72.8,352,5,3,95,3,49.9,32,268.4,1264,31,4.7,40.8,52,0,103,10,54.2,18,0
132,Jess Kerr,NEW ZEALAND,19,141,138,14,10.1,102.2,28,0,0,16,2,46.4,24,181.1,728,32,4.02,22.8,34,0,71,3,65.1,5,0
133,Rosemary Mair,NEW ZEALAND,8,29,39,5,5.8,74.4,7,0,0,1,0,38.5,13,90,477,6,5.3,79.5,90,0,50,7,58.3,4,0
134,Molly Penfold,NEW ZEALAND,1,2,12,1,2,16.7,2,0,0,0,0,83.3,5,30.5,154,2,4.99,77,92.5,0,17,1,67,4,0
135,Georgia Plimmer,NEW ZEALAND,3,50,68,1,50,73.5,23,0,0,2,0,38.2,0,0,0,0,0,0,0,0,0,0,0,4,0
